"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.705697770437655,0.538318187533864,0.830635482028287,0.762589928057554,0.691794207097368,0.829783230091284,0.713991769547325,0.679012345679012,0.746913580246914
"Eligibility",0.672727272727273,NA,NA,0.75,NA,NA,0.703703703703704,NA,NA
"Recruitment",0.433070866141732,NA,NA,0.692307692307692,NA,NA,0.759259259259259,NA,NA
"Setting",0.709156193895871,NA,NA,0.727272727272727,NA,NA,0.796296296296296,NA,NA
"Organization",0.597444089456869,NA,NA,0.733333333333333,NA,NA,0.722222222222222,NA,NA
"Flex. delivery",0.888121546961326,NA,NA,0.666666666666667,NA,NA,0.833333333333333,NA,NA
"Flex. adherence",0.848456501403181,NA,NA,0.823529411764706,NA,NA,0.685185185185185,NA,NA
"Follow-up",-0.263157894736842,NA,NA,0.705882352941177,NA,NA,0.685185185185185,NA,NA
"Outcome",0.848421052631579,NA,NA,0.96,NA,NA,0.537037037037037,NA,NA
"Analysis",0.550208236927348,NA,NA,0.625,NA,NA,0.703703703703704,NA,NA
